Serial-no,state,Active-cases,change,recovered,Recover-change,deaths,change in deaths,text
1.0,Andaman and Nicobar Islands,25,4,4904,4,62,0,"Active-cases : 25  <br> new-cases-from-yesterday :  0  ,<br>  total -recovered : 4904 ,<br>people-recovered-from-yesterday :4 , <br>total-deaths: 62 , <br>deaths-from-yesterday : 0"
2,Andhra Pradesh,1522,115,877893,254,7142,0,"Active-cases : 1522  , <br> new-cases-from-yesterday :  0 <br>, total -recovered : 877893  <br>,people-recovered-from-yesterday :254 , <br> total-deaths: 7142 ,<br> deaths-from-yesterday : 0"
3,Arunachal Pradesh,38,8,16722,9,56,0,"Active-cases : 38   , <br> new-cases-from-yesterday :  0 <br>, total -recovered : 16722   ,<br>people-recovered-from-yesterday : 9  <br>,  total-deaths: 56  , <br>deaths-from-yesterday : 0"
4,Assam,2568,95,213295,116,1077,0,"Active-cases :  2568  <br>,  new-cases-from-yesterday :  0 ,<br> total -recovered : 213295 <br>,people-recovered-from-yesterday :116, <br> total-deaths: 1077 , <br>deaths-from-yesterday : 0"
5,Bihar,2923,220,254023,454,1468,4,"Active-cases : 2923   <br>,  new-cases-from-yesterday :  0 , <br>total -recovered : 254023  ,<br>people-recovered-from-yesterday :454  <br>,  total-deaths: 1468  , <br>deaths-from-yesterday : 4"
6,Chandigarh,146,25,20162,40,331,1,"Active-cases : 146 <br> ,  new-cases-from-yesterday :  0 , <br>total -recovered : 20162 ,<br><br>people-recovered-from-yesterday :40,  <br>total-deaths: 331  ,<br> deaths-from-yesterday : 1"
7,Chhattisgarh,5638,160,286277,711,3594,9,"Active-cases : 5638   , <br> new-cases-from-yesterday :  0 ,<br> total -recovered : 286277 <br>  ,people-recovered-from-yesterday : 711 ,<br>  total-deaths: 3594 , <br>deaths-from-yesterday : 9"
8,Dadra and Nagar Haveli and Daman and Diu,10,1,3381,1,2,0,"Active-cases : 10 ,<br>  new-cases-from-yesterday :  0 , <br>total -recovered : 3381  <br> ,people-recovered-from-yesterday :1 ,<br>  total-deaths: 2 , <br>deaths-from-yesterday : 0"
9,Delhi,2120,27,620374,246,10782,8,"Active-cases : 2120   ,<br>  new-cases-from-yesterday :  0 ,<br> total -recovered : 620374  ,<br>people-recovered-from-yesterday :246  ,<br>  total-deaths: 10782 <br>, deaths-from-yesterday : 8"
10,Goa,865,0,51090,54,757,1,"Active-cases :  865  ,<br>  new-cases-from-yesterday :  0 ,<br> total -recovered : 51090  <br> ,people-recovered-from-yesterday :54  <br>,  total-deaths:  757  <br>, deaths-from-yesterday : 1"
11,Gujarat,5491,257,247950,727,4372,1,"Active-cases : 5491  <br>,  new-cases-from-yesterday :  0 <br>, total -recovered : 247950 <br>  ,people-recovered-from-yesterday :727 <br>  total-deaths: 4372 ,<br> deaths-from-yesterday : 1 "
12,Haryana,1679,55,262140,185,3000,3,"Active-cases : 1679  ,  <br>new-cases-from-yesterday :  0 , <br>total -recovered : 262140 <br>  ,people-recovered-from-yesterday :185 ,  <br>total-deaths: 3000 <br>, deaths-from-yesterday :  3 "
13,Himachal Pradesh,556,19,55595,55,970,3,"Active-cases : 556   ,<br>  new-cases-from-yesterday :  0 <br>, total -recovered : 55595  ,<br>people-recovered-from-yesterday :55  ,  <br>total-deaths: 970  , <br>deaths-from-yesterday : 3"
14,Jammu and Kashmir,1111,12,120729,104,1924,1,"Active-cases : 1111  ,<br>  new-cases-from-yesterday :  12  <br>, total -recovered : 120729  <br>,people-recovered-from-yesterday :104 , <br> total-deaths: 1924  <br>, deaths-from-yesterday : 1 "
15,Jharkhand,1032,70,115989,136,1058,1,"Active-cases : 1032  ,  <br>new-cases-from-yesterday :  0 , <br>total -recovered : 115989   ,<br>people-recovered-from-yesterday :136  ,  <br>total-deaths: 1058  <br>, deaths-from-yesterday : 1 "
16,Karnataka,7573,143,914492,815,12187,2,"Active-cases : 7573   ,<br>  new-cases-from-yesterday :  0 ,<br> total -recovered : 914492   ,<br>people-recovered-from-yesterday :815  ,  <br>total-deaths: 12187 <br>, deaths-from-yesterday : 2"
17,Kerala,69998,84,796986,6229,3545,21,"Active-cases : 69998  ,<br>  new-cases-from-yesterday :  84  <br>, total -recovered : 796986  <br>,people-recovered-from-yesterday :6229 ,  <br>total-deaths: 3545  ,<br>deaths-from-yesterday : 21 "
18,Ladakh,73,3,9471,8,129,0,"Active-cases : 73  , <br> new-cases-from-yesterday :  0 <br><br>, total -recovered : 9471  <br>,people-recovered-from-yesterday :8  ,<br>  total-deaths: 129 <br>, deaths-from-yesterday : 0"
19,Lakshadweep,48,18,0,0,0,0,"Active-cases : 48  ,<br>  new-cases-from-yesterday :  18  ,<br> total -recovered : 0,<br>people-recovered-from-yesterday :0 ,  <br>total-deaths: 0 , <br>deaths-from-yesterday : 0"
